Data_subset knn knn_err svm svm_err tree tree_err majority majority_err bayes bayes_err neural_net neural_net_err
0.1 0.605905511811 0.0284578396897 0.635826771654 0.0166486156645 0.597637795276 0.0244012808334 0.26968503937 0.00742177546831 0.578346456693 0.0263011638799 0.631496062992 0.0954633064163
0.2 0.662204724409 0.0118599879095 0.688582677165 0.0210945608274 0.685433070866 0.0205442466896 0.267716535433 0.00727182515315 0.602755905512 0.0168694850334 0.685039370079 0.0199589192085
0.3 0.703543307087 0.0153140563239 0.709448818898 0.0150088780029 0.74094488189 0.015357158172 0.255905511811 0.0218154754594 0.605511811024 0.0174523803676 0.731102362205 0.0221382990811
0.4 0.724015748031 0.0209688471881 0.714566929134 0.0116689571395 0.772047244094 0.01015021072 0.271653543307 0.00727182515315 0.616141732283 0.0157789110835 0.668503937008 0.122098831086
0.5 0.741338582677 0.0147273161418 0.72874015748 0.0135686619563 0.83188976378 0.0151404219554 0.251968503937 0.0201347721147 0.622047244094 0.0118748407493 0.741338582677 0.025574021066
0.6 0.746062992126 0.0149765470816 0.715354330709 0.00829646947666 0.833464566929 0.0152563977746 0.273622047244 0.0068021695749 0.636614173228 0.0115779697306 0.729921259843 0.0218235537695
0.7 0.766929133858 0.0126510253182 0.732677165354 0.00895055044133 0.87874015748 0.0120808632688 0.26968503937 0.00742177546831 0.645275590551 0.00970636582274 0.746062992126 0.0259231472519
0.8 0.781496062992 0.0153829613123 0.725196850394 0.00982817950246 0.900787401575 0.0137204522581 0.271653543307 0.00727182515315 0.637401574803 0.0081247257751 0.711811023622 0.0536803223542
0.9 0.803543307087 0.00585521171999 0.738582677165 0.00482358311481 0.931102362205 0.0110482295614 0.265748031496 0.0068021695749 0.63937007874 0.00625546052524 0.737007874016 0.0177030737633
1.0 0.807086614173 8.37166322465e-17 0.744094488189 8.37166322465e-17 0.96062992126 8.37166322465e-17 0.279527559055 0.0 0.657480314961 8.37166322465e-17 0.72125984252 0.0517237584474
