Data_subset knn knn_err svm svm_err tree tree_err majority majority_err bayes bayes_err neural_net neural_net_err
0.1 0.609230769231 0.0609897961955 0.538461538462 0.0434062413231 0.544615384615 0.0654598027473 0.350769230769 0.0170496331283 0.606153846154 0.0559250298563 0.455384615385 0.0478875874389
0.2 0.716923076923 0.0464611916736 0.563076923077 0.0165692650993 0.632307692308 0.0590274725594 0.36 0.0139209671553 0.710769230769 0.047775043012 0.530769230769 0.0202599366215
0.3 0.756923076923 0.0212646285788 0.598461538462 0.0429229820623 0.733846153846 0.0254425537657 0.36 0.0139209671553 0.747692307692 0.0344916757934 0.570769230769 0.0203923559175
0.4 0.76 0.0303400445132 0.610769230769 0.0455396283623 0.772307692308 0.0397824772994 0.364615384615 0.0104407253665 0.718461538462 0.0172458378967 0.601538461538 0.038979398553
0.5 0.801538461538 0.0281543697679 0.621538461538 0.0255217731181 0.809230769231 0.0437767138278 0.36 0.0139209671553 0.763076923077 0.0129181108039 0.676923076923 0.0430950814596
0.6 0.813846153846 0.0281543697679 0.632307692308 0.0167710906288 0.813846153846 0.0240279549411 0.364615384615 0.0104407253665 0.775384615385 0.0173624965293 0.653846153846 0.0415852892496
0.7 0.829230769231 0.0317489284135 0.629230769231 0.0281543697679 0.867692307692 0.0270574966041 0.350769230769 0.0170496331283 0.770769230769 0.0150810477516 0.707692307692 0.0359437826371
0.8 0.858461538462 0.0178214962786 0.632307692308 0.0338019696821 0.898461538462 0.0260437447939 0.364615384615 0.0104407253665 0.790769230769 0.0129181108039 0.707692307692 0.0418273007355
0.9 0.855384615385 0.0129181108039 0.630769230769 0.016406017127 0.923076923077 0.0155641144359 0.369230769231 0.0 0.764615384615 0.0127608865591 0.729230769231 0.0285106180549
1.0 0.861538461538 1.67433264493e-16 0.615384615385 8.37166322465e-17 0.984615384615 0.0 0.369230769231 0.0 0.769230769231 0.0 0.766153846154 0.0170496331283
