Data_subset knn knn_err svm svm_err tree tree_err majority majority_err bayes bayes_err neural_net neural_net_err
0.1 0.702994011976 0.0310341598482 0.717365269461 0.0251238113822 0.711976047904 0.0315068463867 0.494011976048 0.0103458148025 0.69880239521 0.0345677338047 0.651497005988 0.037604480253
0.2 0.807185628743 0.0245491954244 0.760479041916 0.0098924910711 0.802994011976 0.0455775345945 0.505988023952 0.0103458148025 0.746107784431 0.0144489080255 0.739520958084 0.0333183886877
0.3 0.870658682635 0.018747945355 0.766467065868 8.37166322465e-17 0.863473053892 0.056784966827 0.497005988024 0.0110601412509 0.747904191617 0.0118520823187 0.845508982036 0.0893478709327
0.4 0.894610778443 0.0141638917026 0.766467065868 8.37166322465e-17 0.915568862275 0.0572373441008 0.511976047904 0.00677292563695 0.759281437126 0.0204737126397 0.951497005988 0.0410096157487
0.5 0.936526946108 0.0134249037519 0.760479041916 0.0135458512739 0.891616766467 0.0499321792332 0.502994011976 0.0110601412509 0.765269461078 0.00750135276235 0.964071856287 0.0350334811627
0.6 0.963473053892 0.0081899829423 0.760479041916 0.0135458512739 0.920359281437 0.0474878212384 0.491017964072 0.00903056751593 0.762275449102 0.00453780401616 0.993413173653 0.0149004364013
0.7 0.973053892216 0.00838676734991 0.766467065868 8.37166322465e-17 0.951497005988 0.0303868868432 0.502994011976 0.0110601412509 0.767664670659 0.00270917025478 0.980239520958 0.0227607925656
0.8 0.982035928144 0.00782070087939 0.766467065868 8.37166322465e-17 0.962275449102 0.0308265270735 0.508982035928 0.00903056751593 0.766467065868 8.37166322465e-17 0.993413173653 0.0149004364013
0.9 0.988023952096 0.00451528375797 0.766467065868 8.37166322465e-17 0.969461077844 0.015957551968 0.5 0.0112882093949 0.766467065868 8.37166322465e-17 1.0 0.0
1.0 0.994011976048 8.37166322465e-17 0.766467065868 8.37166322465e-17 0.982035928144 0.0 0.51497005988 0.0 0.766467065868 8.37166322465e-17 0.993413173653 0.0149004364013
