Data_subset knn knn_err svm svm_err tree tree_err majority majority_err bayes bayes_err neural_net neural_net_err
0.1 0.924444444444 0.050936018107 0.733333333333 0.073424267061 0.877777777778 0.0842014745221 0.315555555556 0.0373189867669 0.951111111111 0.0268107515584 0.72 0.12962381467
0.2 0.971111111111 0.0168402949044 0.793333333333 0.0636093556142 0.971111111111 0.00767889365344 0.348888888889 0.0318377674756 0.968888888889 0.0170885681713 0.908888888889 0.0558026442387
0.3 0.98 0.0158082577711 0.857777777778 0.0746379735338 0.966666666667 0.0376560441674 0.324444444444 0.0360950789363 0.964444444444 0.0186594933835 0.955555555556 0.0183560667653
0.4 0.982222222222 0.0146081695804 0.922222222222 0.0546844450958 0.966666666667 0.0112407493148 0.315555555556 0.0373189867669 0.971111111111 0.0168402949044 0.971111111111 0.0107295358205
0.5 0.988888888889 0.008378359862 0.975555555556 0.00902376973407 0.973333333333 0.0100540318344 0.333333333333 0.033513439448 0.973333333333 0.0100540318344 0.977777777778 8.37166322465e-17
0.6 0.98 0.00902376973407 0.975555555556 0.0050270159172 0.971111111111 0.0107295358205 0.326666666667 0.0375066148313 0.971111111111 0.0150810477516 0.98 0.00902376973407
0.7 0.993333333333 0.00767889365344 0.982222222222 0.0067026878896 0.977777777778 0.0129796992856 0.331111111111 0.0399710115224 0.977777777778 8.37166322465e-17 0.986666666667 0.00820908261733
0.8 0.986666666667 0.00820908261733 0.977777777778 0.00749383287656 0.971111111111 0.0107295358205 0.337777777778 0.0357825615481 0.977777777778 0.00749383287656 0.984444444444 0.0107295358205
0.9 0.98 0.0050270159172 0.982222222222 0.0100540318344 0.975555555556 0.00902376973407 0.355555555556 0.0236975802946 0.977777777778 8.37166322465e-17 0.98 0.0050270159172
1.0 0.977777777778 8.37166322465e-17 0.977777777778 8.37166322465e-17 0.977777777778 8.37166322465e-17 0.377777777778 0.0 0.977777777778 8.37166322465e-17 0.977777777778 8.37166322465e-17
