Data_subset knn knn_err svm svm_err tree tree_err majority majority_err bayes bayes_err neural_net neural_net_err
0.1 0.804816955684 0.00869433404221 0.843352601156 0.0109121973426 0.778612716763 0.013163739804 0.697495183044 8.37166322465e-17 0.804431599229 0.0138025003507 0.847591522158 0.013163739804
0.2 0.85183044316 0.0106854459601 0.885549132948 0.0164530310094 0.816955684008 0.0138749549186 0.697495183044 8.37166322465e-17 0.844701348748 0.0107592719448 0.90655105973 0.00793791290106
0.3 0.868978805395 0.0121210092139 0.901348747592 0.00821367561002 0.853949903661 0.00892791721084 0.697495183044 8.37166322465e-17 0.84161849711 0.0105732414482 0.928323699422 0.00485362544656
0.4 0.891522157996 0.0106775410609 0.90366088632 0.00888525635889 0.879190751445 0.00551526204747 0.697495183044 8.37166322465e-17 0.855876685934 0.0100197084446 0.94161849711 0.00431243056756
0.5 0.913487475915 0.00924502414946 0.911753371869 0.00489692358734 0.899614643545 0.00556858764454 0.697495183044 8.37166322465e-17 0.867630057803 0.0100669987467 0.947784200385 0.00418322695102
0.6 0.922928709056 0.00570157080493 0.914643545279 0.00395497065564 0.913487475915 0.00710137155852 0.697495183044 8.37166322465e-17 0.864739884393 0.00976362584178 0.952601156069 0.0049569056399
0.7 0.941040462428 0.00780246428822 0.918689788054 0.00463106648105 0.93429672447 0.00456911729785 0.697495183044 8.37166322465e-17 0.863198458574 0.00450162981004 0.950867052023 0.00285078540247
0.8 0.949518304432 0.00584056470674 0.919653179191 0.00252067822284 0.947976878613 0.00562703726256 0.697495183044 8.37166322465e-17 0.869556840077 0.00774407906615 0.958959537572 0.0042133948439
0.9 0.954142581888 0.00420085121724 0.919075144509 0.00468544485888 0.955684007707 0.00349903396625 0.697495183044 8.37166322465e-17 0.872447013487 0.00383299966558 0.961849710983 0.00399480016653
1.0 0.963391136802 8.37166322465e-17 0.921001926782 1.67433264493e-16 0.957610789981 8.37166322465e-17 0.697495183044 8.37166322465e-17 0.880539499037 0.0 0.970327552987 0.00610215804978
