Data_subset knn knn_err svm svm_err tree tree_err majority majority_err bayes bayes_err neural_net neural_net_err
0.1 0.939512195122 0.0123319232732 0.95756097561 0.0110410417942 0.870243902439 0.0517635576419 0.639024390244 8.37166322465e-17 0.95512195122 0.00750229822155 0.930243902439 0.0124248307225
0.2 0.954146341463 0.00720797498107 0.95512195122 0.0108867866341 0.917073170732 0.0152549884023 0.639024390244 8.37166322465e-17 0.96487804878 0.00360398749053 0.951219512195 0.00854760684663
0.3 0.951219512195 0.00493496311383 0.958536585366 0.00758301863718 0.913658536585 0.0186870892854 0.639024390244 8.37166322465e-17 0.963414634146 0.00620969240893 0.954634146341 0.00886616326991
0.4 0.956097560976 0.00493496311383 0.963902439024 0.00873548878212 0.92487804878 0.018406228985 0.639024390244 8.37166322465e-17 0.973170731707 0.00376914033682 0.962926829268 0.00775066816298
0.5 0.958048780488 0.00375114911077 0.972682926829 0.00809226952525 0.930243902439 0.021826327674 0.639024390244 8.37166322465e-17 0.972682926829 0.00409598635247 0.96 0.00653869680161
0.6 0.956585365854 0.00257481303076 0.978048780488 0.00376914033682 0.925853658537 0.025737618721 0.639024390244 8.37166322465e-17 0.976585365854 0.00275259091318 0.966341463415 0.00417775063122
0.7 0.959024390244 0.00409598635247 0.981463414634 0.00487982213049 0.921463414634 0.0186435971645 0.639024390244 8.37166322465e-17 0.980975609756 0.00305542905198 0.972195121951 0.00369665010097
0.8 0.960975609756 0.00367830432966 0.98487804878 0.00417775063122 0.927317073171 0.0207718375747 0.639024390244 8.37166322465e-17 0.981463414634 0.00320667137132 0.973170731707 0.00598784562804
0.9 0.958536585366 0.00183915216483 0.990731707317 0.0011034912989 0.92243902439 0.00922514032656 0.639024390244 8.37166322465e-17 0.981463414634 0.00275259091318 0.973658536585 0.00294264346373
1.0 0.965853658537 1.67433264493e-16 0.990243902439 0.0 0.912195121951 8.37166322465e-17 0.639024390244 8.37166322465e-17 0.985365853659 1.67433264493e-16 0.97512195122 0.0019808275026
