Data_subset knn knn_err svm svm_err tree tree_err majority majority_err bayes bayes_err neural_net neural_net_err
0.1 0.940935672515 0.0134404331776 0.970175438596 0.00416006783451 0.897660818713 0.0240922619629 0.614035087719 8.37166322465e-17 0.962573099415 0.0125035528289 0.916959064327 0.0102091081343
0.2 0.961988304094 0.00865238376538 0.978947368421 0.00659977938247 0.919883040936 0.016027169052 0.614035087719 8.37166322465e-17 0.957894736842 0.00677425297138 0.893567251462 0.0713439334691
0.3 0.968421052632 0.00449699162403 0.980116959064 0.00352773046821 0.943859649123 0.0102850133291 0.614035087719 8.37166322465e-17 0.95730994152 0.00967114616826 0.934502923977 0.0133460622393
0.4 0.966666666667 0.008378359862 0.982456140351 0.0052175837258 0.93918128655 0.0123470566387 0.614035087719 8.37166322465e-17 0.963157894737 0.0044316565538 0.93918128655 0.00529159570232
0.5 0.973099415205 0.00659977938247 0.984795321637 0.00529159570232 0.950292397661 0.0101038074387 0.614035087719 8.37166322465e-17 0.967251461988 0.00292503958114 0.957894736842 0.0075866712355
0.6 0.971929824561 0.00550766742822 0.985380116959 0.00406550848563 0.957894736842 0.0075866712355 0.614035087719 8.37166322465e-17 0.966081871345 0.00264579785116 0.86081871345 0.194943020868
0.7 0.968421052632 0.00529159570232 0.985964912281 0.00529159570232 0.959649122807 0.00775148031952 0.614035087719 8.37166322465e-17 0.966666666667 0.00396869677674 0.959649122807 0.0169011519738
0.8 0.975438596491 0.00384425515275 0.990643274854 0.00352773046821 0.97485380117 0.00790056090205 0.614035087719 8.37166322465e-17 0.967251461988 0.0021602848993 0.933918128655 0.0805666081768
0.9 0.977192982456 0.00460382342112 0.990643274854 0.00292503958114 0.976023391813 0.00538267976969 0.614035087719 8.37166322465e-17 0.968421052632 0.0021602848993 0.963157894737 0.0044316565538
1.0 0.976608187135 0.0 0.994152046784 8.37166322465e-17 0.982456140351 1.67433264493e-16 0.614035087719 8.37166322465e-17 0.970760233918 8.37166322465e-17 0.95730994152 0.0166227337207
