Data_subset knn svm tree majority bayes neural_net
0.1 0.625984251969 0.63188976378 0.632283464567 0.244094488189 0.574803149606 0.661023622047
0.2 0.680708661417 0.687007874016 0.67874015748 0.263779527559 0.601181102362 0.719291338583
0.3 0.701181102362 0.709448818898 0.737007874016 0.259842519685 0.603149606299 0.714960629921
0.4 0.725590551181 0.716929133858 0.782677165354 0.257874015748 0.622440944882 0.679133858268
0.5 0.749606299213 0.717322834646 0.814173228346 0.261811023622 0.638188976378 0.658661417323
0.6 0.759448818898 0.727559055118 0.83031496063 0.261811023622 0.636220472441 0.724409448819
0.7 0.770472440945 0.72874015748 0.879527559055 0.26968503937 0.646062992126 0.704330708661
0.8 0.775590551181 0.735826771654 0.9 0.26968503937 0.631496062992 0.70157480315
0.9 0.797244094488 0.737007874016 0.935826771654 0.26968503937 0.641338582677 0.672440944882
1.0 0.807086614173 0.744094488189 0.96062992126 0.279527559055 0.657480314961 0.68937007874
