Data_subset knn svm tree majority bayes neural_net
0.1 0.575384615385 0.501538461538 0.563076923077 0.350769230769 0.570769230769 0.444615384615
0.2 0.703076923077 0.581538461538 0.678461538462 0.350769230769 0.667692307692 0.564615384615
0.3 0.783076923077 0.569230769231 0.7 0.36 0.729230769231 0.564615384615
0.4 0.770769230769 0.581538461538 0.76 0.346153846154 0.715384615385 0.626153846154
0.5 0.793846153846 0.632307692308 0.803076923077 0.36 0.764615384615 0.644615384615
0.6 0.810769230769 0.613846153846 0.821538461538 0.36 0.766153846154 0.658461538462
0.7 0.830769230769 0.630769230769 0.869230769231 0.350769230769 0.775384615385 0.687692307692
0.8 0.863076923077 0.621538461538 0.904615384615 0.364615384615 0.772307692308 0.721538461538
0.9 0.852307692308 0.647692307692 0.926153846154 0.36 0.769230769231 0.755384615385
1.0 0.861538461538 0.615384615385 0.984615384615 0.369230769231 0.769230769231 0.74
